pair_id,query_id,query,organization_name,category,public_description,public_tags,review_snippets,hidden_tags,label,relevance_score
11285,pet_friendly,pet friendly кафе,Оливка на углу,restaurant,ночью открыто пускают с питомцами ужин,24h pet_friendly restaurant,"В отзывах часто пишут: аниматор, вкусно.",family_friendly good_food kids_room no_pets,0,0.43
11286,vegan_food,ресторан с vegan меню,Соль Парк,cafe,только для взрослых большой экран сильная кухня,adults_only big_screen good_food,"В отзывах часто пишут: трансляции, живая музыка, только для взрослых.",beer live_music pharmacy sports_broadcasts vegan,1,0.8533
11287,sports_bar,паб с большим экраном,Место Плюс,bar,бар большой экран саксофон пускают с питомцами резерв,bar big_screen jazz pet_friendly reservation,"В отзывах часто пишут: авторские напитки, свидание.",cocktails quiet romantic,0,0.1133
11288,romantic_jazz_bar,уютный джазовый бар,Лампа на углу,cafe,кофейня gluten free детская комната романтичный,cafe gluten_free kids_room romantic,"В отзывах часто пишут: детская комната, громкая музыка, gluten free.",loud_music sports_broadcasts,0,0.26
11289,sports_bar,спортбар с трансляциями,Место на Тверской,restaurant,хорошие блюда живая музыка до ночи матчи,good_food jazz late_hours sports_broadcasts,"В отзывах часто пишут: летняя площадка, поздние часы, напитки.",bar cafe healthy_food terrace wifi,1,0.8533
11290,terrace_restaurant,ужин на летней террасе,Север Room,restaurant,gluten free летняя площадка,gluten_free terrace,"В отзывах часто пишут: блюда, без глютена, терраса, вкусно, выступления.",good_food live_music restaurant,1,0.8533
11291,romantic_jazz_bar,романтичный джаз-бар,Лампа на Тверской,bar,саксофон детские праздники до ночи концерты романтичный,jazz kids_party late_hours live_music romantic vegan,"В отзывах часто пишут: очень шумно, джаз, веган, напитки.",bar big_screen noisy water_for_pets,0,0.2267
11292,late_pharmacy,где купить лекарства поздно,Соль Плюс,restaurant,круглосуточно доставка детские праздники работает допоздна не торопят,24h delivery kids_party late_hours long_stay near_metro terrace,"В отзывах часто пишут: не торопят, очень шумно.",noisy pharmacy,1,1.0
11293,kids_cafe,куда сходить с ребенком поесть,Оливка на Тверской,restaurant,паб кофе семейно хорошие блюда саксофон,bar cafe family_friendly good_food jazz no_pets restaurant,"В отзывах часто пишут: удобно с детьми, с животными нельзя, ужин.",adults_only live_music,0,0.1133
11294,pet_friendly,заведение с животными,Атлас Плюс,restaurant,заботливые официанты полезное меню детская комната пускают с питомцами кухня,friendly_staff healthy_food kids_room pet_friendly restaurant,"В отзывах часто пишут: вежливый персонал, живая музыка, полезное меню, трансляции.",jazz sports_broadcasts terrace,1,0.9267
11295,terrace_restaurant,кафе с открытой верандой,Атлас на углу,pharmacy,вежливый персонал только мясо аптека веранда,friendly_staff meat_only pharmacy terrace,"В отзывах часто пишут: очень шумно, сильная кухня, только мясо, ужин.",24h good_coffee good_food noisy restaurant,1,0.8533
11296,quiet_coworking,кофейня с розетками и wifi,Место Парк,bar,авторские напитки детская комната с животными нельзя,cocktails kids_room no_pets,"В отзывах часто пишут: с животными нельзя, спокойно, хорошие блюда.",cafe good_food near_metro quiet restaurant wifi,1,0.78
11297,kids_cafe,куда сходить с ребенком поесть,Мята на Тверской,cafe,ночью открыто растительное меню wifi,24h vegan wifi,"В отзывах часто пишут: живая музыка, круглосуточно.",live_music,0,0.0
11298,pet_friendly,ресторан куда можно с собакой,Мята на Тверской,pharmacy,закрывается рано джаз очень шумно аптека свидание,closed_evening jazz noisy pharmacy romantic,"В отзывах часто пишут: живая музыка, закрывается рано.",family_friendly,0,0.0
11299,pet_friendly,pet friendly кафе,Мята Station,cafe,живая музыка очень шумно только навынос,jazz noisy takeaway_only,"В отзывах часто пишут: живая музыка, работает допоздна.",late_hours,0,0.0
11300,pet_friendly,заведение с животными,Север Парк,pharmacy,только для взрослых коктейли фармацевт свидание,adults_only bar pharmacy romantic,"В отзывах часто пишут: уютный свет, живая музыка, только для взрослых.",closed_evening jazz live_music pet_friendly,1,0.78
11301,quiet_coworking,кофейня с розетками и wifi,Место Плюс,bar,доставка вежливый персонал заказ столика уютный свет,delivery friendly_staff reservation romantic,"В отзывах часто пишут: резерв, громкая музыка.",bar loud_music meat_only,0,0.0
11302,quiet_coworking,спокойное кафе для работы,Атлас Room,cafe,здоровая еда не торопят wifi,healthy_food long_stay wifi,"В отзывах часто пишут: pet friendly, полезное меню, розетки.",cafe jazz live_music pet_friendly power_outlets quiet,1,0.9267
11303,pet_friendly,ресторан куда можно с собакой,Место на Тверской,restaurant,только для взрослых паб вежливый персонал блюда уютный свет,adults_only bar friendly_staff restaurant romantic,"В отзывах часто пишут: кофе, с животными нельзя, вежливый персонал.",cafe no_pets pharmacy,0,0.0
11304,sports_bar,паб с большим экраном,Лампа на Тверской,bar,бар детская комната свидание,bar kids_room romantic,"В отзывах часто пишут: напитки, без глютена, тихо.",gluten_free quiet,0,0.04
11305,vegan_food,ресторан с vegan меню,Лампа Room,bar,телевизоры живая музыка только мясо с животными нельзя,big_screen jazz meat_only no_pets,"В отзывах часто пишут: с животными нельзя, живая музыка.",closed_evening gluten_free good_food kids_party pharmacy terrace vegan,0,0.5767
11306,kids_cafe,куда сходить с ребенком поесть,Соль на углу,bar,напитки громкая музыка очень шумно веган вода питомцам,bar loud_music noisy vegan water_for_pets,"В отзывах часто пишут: очень шумно, миска для собаки, поздние часы, громкая музыка.",late_hours,0,0.0
11307,late_pharmacy,круглосуточная аптека рядом,Город Лофт,bar,24 часа без глютена можно сидеть долго розетки,24h gluten_free long_stay power_outlets,"В отзывах часто пишут: коктейли, розетки, только для взрослых, лекарства.",adults_only cocktails friendly_staff late_hours pharmacy,1,0.78
11308,quiet_coworking,спокойное кафе для работы,Соль на Тверской,cafe,вкусно у метро без молока и мяса вода питомцам,good_food near_metro vegan water_for_pets,"В отзывах часто пишут: интернет, бар, вода питомцам.",bar cafe friendly_staff good_coffee good_food power_outlets quiet wifi,1,0.9267
11309,terrace_restaurant,кафе с открытой верандой,Мята Лофт,bar,напитки без глютена здоровая еда,bar gluten_free healthy_food,"В отзывах часто пишут: без глютена, здоровая еда, коктейли.",family_friendly pet_friendly takeaway_only water_for_pets,0,0.0
11310,kids_cafe,кафе для детей,Место Парк,cafe,кофейня дружелюбно к семье хорошие блюда high_chairs джаз,cafe family_friendly good_food high_chairs jazz kids_party kids_room noisy,"В отзывах часто пишут: очень шумно, заказ столика, хорошие блюда.",bar closed_evening reservation,1,0.9267
11311,late_pharmacy,аптека ночью,Мята Station,pharmacy,большой экран заказ онлайн рядом с метро фармацевт,big_screen delivery near_metro pharmacy,"В отзывах часто пишут: у метро, доставка, вкусно, веранда.",24h delivery good_food terrace,1,1.0
11312,terrace_restaurant,ужин на летней террасе,Город на Тверской,bar,коктейли,bar,"В отзывах часто пишут: ресторан, трансляции, заказ онлайн, коктейли, удобно с детьми.",delivery family_friendly restaurant sports_broadcasts terrace,1,0.8533
11313,late_pharmacy,круглосуточная аптека рядом,Атлас на углу,pharmacy,круглосуточно удобные столы громкая музыка у метро аптека,24h long_stay loud_music near_metro pharmacy,"В отзывах часто пишут: ночью открыто, спокойно, рядом с метро.",delivery family_friendly quiet sports_broadcasts,1,1.0
11314,vegan_food,где поесть без мяса и молока,Фонарь Station,restaurant,полезное меню зарядка блюда только навынос wifi,healthy_food power_outlets restaurant takeaway_only wifi,"В отзывах часто пишут: хорошие блюда, блюда, круглосуточно, зарядка.",24h gluten_free good_food quiet vegan,1,1.0
11315,vegan_food,веганское кафе,Лампа Room,bar,громкая музыка с животными нельзя очень шумно растительное меню,loud_music no_pets noisy vegan,"В отзывах часто пишут: без молока и мяса, очень шумно.",gluten_free good_food healthy_food kids_room,1,1.0
11316,pet_friendly,заведение с животными,Мята Daily,pharmacy,закрывается рано лекарства,closed_evening pharmacy,"В отзывах часто пишут: аптека, заботливые официанты, без глютена, можно с собакой, закрывается рано.",friendly_staff gluten_free pet_friendly,1,0.8533
11317,sports_bar,бар посмотреть футбол,Мята Room,restaurant,напитки проектор дружелюбно к семье с животными нельзя фармацевт,bar big_screen family_friendly no_pets pharmacy restaurant,"В отзывах часто пишут: с животными нельзя, телевизоры.",friendly_staff jazz loud_music sports_broadcasts vegan,1,0.8533
11318,vegan_food,веганское кафе,Атлас Парк,bar,бар без глютена сильная кухня здоровая еда не шумно,bar gluten_free good_food healthy_food quiet,"В отзывах часто пишут: удобные столы, напитки, сильная кухня, не шумно.",kids_party long_stay near_metro vegan,1,1.0
11319,late_pharmacy,аптека ночью,Соль Плюс,bar,очень шумно pet friendly уютный свет веган,noisy pet_friendly romantic vegan,"В отзывах часто пишут: без молока и мяса, очень шумно, закрывается рано, живая музыка, pet friendly.",closed_evening jazz,0,0.0
11320,pet_friendly,заведение с животными,Лампа Room,restaurant,pet friendly кухня,pet_friendly restaurant,"В отзывах часто пишут: блюда, до ночи, можно с собакой, заказ столика.",late_hours reservation vegan,1,0.78
11321,quiet_coworking,спокойное кафе для работы,Атлас Room,pharmacy,телевизоры кофе коктейли полезное меню можно сидеть долго,big_screen cafe cocktails healthy_food long_stay pharmacy power_outlets,"В отзывах часто пишут: коктейли, тихо, лекарства, детские праздники.",bar big_screen kids_party noisy quiet wifi,1,0.9267
11322,pet_friendly,заведение с животными,Оливка Station,bar,концерты можно сидеть долго,live_music long_stay,"В отзывах часто пишут: джаз, только мясо, вода питомцам.",gluten_free jazz meat_only pet_friendly pharmacy terrace water_for_pets,1,0.9267
11323,terrace_restaurant,ужин на летней террасе,Место на Тверской,pharmacy,джаз не торопят фармацевт ужин,jazz long_stay pharmacy restaurant,"В отзывах часто пишут: вайфай, gluten free.",24h gluten_free near_metro wifi,0,0.39
11324,terrace_restaurant,ужин на летней террасе,Лампа Лофт,restaurant,зерно работает допоздна рядом с метро тихо бронь,good_coffee late_hours near_metro quiet reservation restaurant,"В отзывах часто пишут: ресторан, хорошие блюда, у метро, кофе, можно сидеть долго.",cafe good_food long_stay terrace water_for_pets,1,0.9267
11325,terrace_restaurant,ужин на летней террасе,Север Лофт,bar,телевизоры удобно с детьми хороший кофе детские праздники очень шумно,big_screen family_friendly good_coffee kids_party noisy,"В отзывах часто пишут: детские праздники, дружелюбно к семье, блюда, pet friendly.",big_screen pet_friendly quiet restaurant terrace,1,0.8533
11326,sports_bar,спортбар с трансляциями,Фонарь Плюс,bar,бар крафт вежливый персонал тихо матчи,bar beer friendly_staff quiet sports_broadcasts,"В отзывах часто пишут: громкая музыка, без молока и мяса, не шумно.",24h closed_evening loud_music vegan,0,0.5033
11327,romantic_jazz_bar,уютный джазовый бар,Север Плюс,restaurant,заказ онлайн зарядка wifi,delivery power_outlets wifi,"В отзывах часто пишут: зарядка, здоровая еда, доставка, вайфай.",good_coffee healthy_food kids_party vegan,0,0.0
11328,romantic_jazz_bar,бар с живым джазом для свидания,Лампа Station,bar,барная карта концерты рядом с метро,cocktails live_music near_metro,"В отзывах часто пишут: громкая музыка, авторские напитки, у метро, розетки, бар.",bar jazz late_hours loud_music power_outlets romantic,1,1.0
11329,sports_bar,спортбар с трансляциями,Город Station,bar,коктейли крафт вежливый персонал,bar beer friendly_staff,"В отзывах часто пишут: романтичный, паб, коктейли.",cocktails romantic sports_broadcasts,1,0.8533
11330,romantic_jazz_bar,уютный джазовый бар,Лампа Плюс,cafe,работает допоздна удобные столы громкая музыка миска для собаки,late_hours long_stay loud_music water_for_pets,"В отзывах часто пишут: место для ноутбука, коктейли, ночью открыто, громкая музыка, зерно.",24h bar good_coffee jazz loud_music power_outlets romantic,1,0.8533
11331,kids_cafe,кафе для детей,Мята Парк,cafe,кофейня спокойно веранда,cafe quiet terrace,"В отзывах часто пишут: кофейня, без глютена, очень шумно.",family_friendly gluten_free high_chairs kids_room noisy water_for_pets,1,0.9267
11332,sports_bar,паб с большим экраном,Место на углу,bar,коктейли капучино детское меню работает допоздна с животными нельзя,bar good_coffee kids_room late_hours no_pets terrace,"В отзывах часто пишут: терраса, пиво, до ночи.",beer big_screen sports_broadcasts wifi,1,1.0
11333,quiet_coworking,кофейня с розетками и wifi,Место Плюс,bar,можно сидеть долго pet friendly тихо только навынос wifi,long_stay pet_friendly quiet takeaway_only wifi,"В отзывах часто пишут: место для ноутбука, не шумно, интернет, только навынос.",cafe gluten_free loud_music no_pets power_outlets,0,0.5767
11334,romantic_jazz_bar,бар с живым джазом для свидания,Соль Лофт,restaurant,здоровая еда летняя площадка,healthy_food terrace,"В отзывах часто пишут: полезное меню, wifi, авторские напитки, летняя площадка.",cocktails wifi,0,0.0733
11335,kids_cafe,куда сходить с ребенком поесть,Мята Парк,restaurant,только для взрослых кофе заказ онлайн high_chairs пускают с питомцами,adults_only cafe delivery high_chairs pet_friendly restaurant,"В отзывах часто пишут: свидание, пускают с питомцами, телевизоры.",big_screen delivery family_friendly kids_room power_outlets romantic,0,0.5767
11336,late_pharmacy,аптека ночью,Город Парк,cafe,24 часа семейно,24h family_friendly,"В отзывах часто пишут: тихо, удобно с детьми.",beer family_friendly good_coffee pharmacy quiet,1,0.78
11337,kids_cafe,семейное кафе с игровой комнатой,Атлас на углу,cafe,кафе работает допоздна без молока и мяса,cafe late_hours vegan,"В отзывах часто пишут: детские праздники, уютный свет, растительное меню, удобные столы, работает допоздна.",kids_party long_stay romantic,0,0.39
11338,terrace_restaurant,ресторан с верандой,Лампа на углу,restaurant,паб удобно с детьми только мясо заказ столика ресторан,bar family_friendly meat_only reservation restaurant,"В отзывах часто пишут: напитки, бронь, ресторан, терраса.",good_food loud_music terrace vegan,1,1.0
11339,vegan_food,веганское кафе,Лампа Плюс,cafe,круглосуточно семейно детские праздники детское меню очень шумно,24h family_friendly kids_party kids_room noisy,"В отзывах часто пишут: ночью открыто, очень шумно, аниматор.",kids_party pet_friendly,0,0.0
11340,late_pharmacy,аптека ночью,Место Station,pharmacy,заботливые официанты аптека интернет,friendly_staff pharmacy wifi,"В отзывах часто пишут: круглосуточно, wifi, аптека, концерты, вежливый персонал.",24h delivery late_hours live_music,1,0.89
11341,terrace_restaurant,ресторан с верандой,Город Station,restaurant,только для взрослых терраса,adults_only terrace,"В отзывах часто пишут: только для взрослых, ужин.",cocktails good_food reservation restaurant,1,0.9267
11342,quiet_coworking,тихое место поработать с ноутбуком,Север Парк,cafe,круглосуточно без молока и мяса,24h vegan,"В отзывах часто пишут: растительное меню, gluten free, ночью открыто, громкая музыка, хороший кофе.",gluten_free good_coffee loud_music,0,0.0
11343,quiet_coworking,кофейня с розетками и wifi,Фонарь на Тверской,cafe,только мясо веган,meat_only vegan,"В отзывах часто пишут: громкая музыка, веган, только мясо, летняя площадка.",delivery loud_music terrace water_for_pets,0,0.0
11344,late_pharmacy,круглосуточная аптека рядом,Оливка Station,restaurant,у метро зарядка,near_metro power_outlets,"В отзывах часто пишут: растительное меню, у метро, очень шумно.",24h noisy pharmacy vegan,1,0.89
11345,quiet_coworking,тихое место поработать с ноутбуком,Атлас Парк,bar,коктейли барная карта работает допоздна концерты не торопят,bar cocktails late_hours live_music long_stay,"В отзывах часто пишут: концерты, кафе, барная карта.",cafe cocktails romantic,0,0.3333
11346,kids_cafe,куда сходить с ребенком поесть,Место на Тверской,bar,коктейли кофе desserts работает допоздна,bar cafe desserts late_hours,"В отзывах часто пишут: desserts, работает допоздна.",kids_room pet_friendly,1,0.8533
11347,kids_cafe,кафе для детей,Оливка Station,pharmacy,кафе high_chairs лекарства ужин,cafe high_chairs pharmacy restaurant,"В отзывах часто пишут: аниматор, свидание.",bar beer family_friendly kids_room romantic terrace,1,0.9267
11348,pet_friendly,ресторан куда можно с собакой,Фонарь Station,restaurant,семейно здоровая еда саксофон уютный свет,family_friendly healthy_food jazz romantic,"В отзывах часто пишут: джаз, с животными нельзя, здоровая еда.",no_pets noisy,0,0.0
11349,vegan_food,ресторан с vegan меню,Север Плюс,cafe,сильная кухня здоровая еда живая музыка,good_food healthy_food live_music,"В отзывах часто пишут: выступления, очень шумно, сильная кухня, только мясо.",gluten_free meat_only noisy vegan,1,0.65
11350,terrace_restaurant,кафе с открытой верандой,Соль на углу,cafe,кофейня закрывается рано,cafe closed_evening,"В отзывах часто пишут: десерты, с животными нельзя, ресторан.",good_food late_hours live_music no_pets restaurant terrace,1,0.8533
11351,terrace_restaurant,кафе с открытой верандой,Соль Лофт,restaurant,детские праздники кухня,kids_party restaurant,"В отзывах часто пишут: фармацевт, терраса, блюда.",family_friendly healthy_food late_hours pharmacy terrace water_for_pets,1,0.8533
11352,late_pharmacy,где купить лекарства поздно,Мята на углу,pharmacy,барная карта громкая музыка только мясо пускают с питомцами фармацевт,cocktails loud_music meat_only pet_friendly pharmacy,"В отзывах часто пишут: аптека, громкая музыка.",closed_evening sports_broadcasts vegan,0,0.04
11353,late_pharmacy,где купить лекарства поздно,Лампа Daily,cafe,круглосуточно кофейня выступления громкая музыка с животными нельзя,24h cafe live_music loud_music no_pets pet_friendly,"В отзывах часто пишут: очень шумно, кофейня, пускают с питомцами, выступления.",closed_evening cocktails noisy,0,0.04
11354,vegan_food,веганское кафе,Атлас Парк,bar,авторские напитки gluten free терраса,cocktails gluten_free terrace,"В отзывах часто пишут: сильная кухня, без молока и мяса, только мясо, веранда.",good_food live_music meat_only vegan,0,0.5767
11355,quiet_coworking,спокойное кафе для работы,Фонарь Парк,cafe,только для взрослых десерты коктейли очень шумно спокойно,adults_only cafe cocktails noisy quiet,"В отзывах часто пишут: заказ онлайн, интернет, десерты, не шумно, рядом с метро.",delivery good_coffee near_metro power_outlets wifi,1,0.9267
11356,pet_friendly,ресторан куда можно с собакой,Фонарь Плюс,pharmacy,круглосуточно барная карта здоровая еда можно с собакой лекарства,24h cocktails healthy_food pet_friendly pharmacy,"В отзывах часто пишут: лекарства, розетки, доставка, 24 часа, пускают с питомцами.",delivery no_pets power_outlets,0,0.43
11357,kids_cafe,семейное кафе с игровой комнатой,Соль Плюс,restaurant,закрывается рано детское меню заказ столика ресторан только навынос,closed_evening kids_room reservation restaurant takeaway_only,"В отзывах часто пишут: только для взрослых, только навынос, детское меню, заказ столика.",adults_only no_pets,0,0.04
11358,vegan_food,ресторан с vegan меню,Лампа Room,restaurant,gluten free детская комната можно с собакой терраса,gluten_free kids_room pet_friendly terrace,"В отзывах часто пишут: gluten free, pet friendly.",24h late_hours pharmacy restaurant,0,0.0733
11359,quiet_coworking,тихое место поработать с ноутбуком,Мята на углу,bar,зерно только мясо свидание wifi,good_coffee meat_only romantic wifi,"В отзывах часто пишут: свидание, gluten free.",cafe friendly_staff gluten_free kids_room pet_friendly power_outlets quiet,1,0.9267
11360,late_pharmacy,аптека ночью,Оливка Room,bar,круглосуточно без глютена зерно саксофон с животными нельзя,24h gluten_free good_coffee jazz no_pets,"В отзывах часто пишут: резерв, без глютена, ночью открыто.",cocktails healthy_food pharmacy reservation wifi,1,0.78
11361,kids_cafe,кафе для детей,Мята на Тверской,cafe,проектор десерты зерно high_chairs детская комната,big_screen cafe good_coffee high_chairs kids_room noisy,"В отзывах часто пишут: high_chairs, хороший кофе, резерв.",desserts family_friendly reservation,1,1.0
11362,late_pharmacy,круглосуточная аптека рядом,Лампа на углу,bar,бар доставка очень шумно матчи,bar delivery noisy sports_broadcasts,"В отзывах часто пишут: трансляции, gluten free.",closed_evening gluten_free,0,0.0
11363,vegan_food,где поесть без мяса и молока,Место Room,bar,паб вкусно,bar good_food,"В отзывах часто пишут: телевизоры, хорошие блюда, коктейли, без молока и мяса, здоровая еда.",big_screen healthy_food vegan,1,0.9267
11364,vegan_food,ресторан с vegan меню,Оливка Daily,pharmacy,проектор живая музыка фармацевт заказ столика,big_screen jazz pharmacy reservation,"В отзывах часто пишут: живая музыка, большой экран.",closed_evening delivery gluten_free good_food quiet vegan,1,0.9267
11365,kids_cafe,куда сходить с ребенком поесть,Оливка Daily,restaurant,закрывается рано заказ онлайн семейно аниматор не торопят,closed_evening delivery family_friendly kids_room long_stay loud_music,"В отзывах часто пишут: дружелюбно к семье, закрывается рано, кофейня, не торопят.",cafe desserts healthy_food high_chairs pet_friendly,1,1.0
11366,terrace_restaurant,ресторан с верандой,Фонарь Room,restaurant,только для взрослых выступления громкая музыка ужин,adults_only live_music loud_music restaurant,"В отзывах часто пишут: только для взрослых, живая музыка, растительное меню, матчи.",family_friendly live_music noisy reservation sports_broadcasts terrace vegan,1,0.9267
11367,vegan_food,веганское кафе,Город на Тверской,bar,телевизоры дружелюбно к семье рядом с метро зарядка растительное меню,big_screen family_friendly near_metro power_outlets vegan,"В отзывах часто пишут: у метро, не шумно, хороший кофе, розетки, растительное меню.",good_coffee quiet,1,0.78
11368,late_pharmacy,круглосуточная аптека рядом,Лампа на углу,pharmacy,ночью открыто детские праздники у метро аптека свидание,24h kids_party near_metro pharmacy romantic,"В отзывах часто пишут: 24 часа, заказ онлайн, уютный свет, рядом с метро, детские праздники.",delivery pet_friendly water_for_pets,1,1.0
11369,terrace_restaurant,ужин на летней террасе,Север на углу,restaurant,кафе детская комната у метро блюда вода питомцам,cafe kids_room near_metro restaurant water_for_pets,"В отзывах часто пишут: вода питомцам, аниматор, детские праздники.",bar kids_party near_metro takeaway_only,0,0.04
11370,vegan_food,веганское кафе,Мята на углу,cafe,десерты без глютена спокойно растительное меню,cafe gluten_free quiet vegan,"В отзывах часто пишут: детское меню, растительное меню.",kids_room restaurant romantic,1,0.8533
11371,terrace_restaurant,ужин на летней террасе,Север Station,bar,эль живая музыка матчи веранда вайфай,beer live_music sports_broadcasts terrace wifi,"В отзывах часто пишут: только мясо, не торопят, эль, выступления, футбол.",closed_evening long_stay meat_only,0,0.39
11372,late_pharmacy,круглосуточная аптека рядом,Лампа Парк,pharmacy,доставка хороший кофе живая музыка лекарства зарядка,delivery good_coffee live_music pharmacy power_outlets terrace,"В отзывах часто пишут: хороший кофе, веранда.",24h family_friendly near_metro,1,1.0
11373,pet_friendly,заведение с животными,Лампа Station,bar,заботливые официанты gluten free можно с собакой уютный свет вода питомцам,friendly_staff gluten_free pet_friendly romantic water_for_pets,"В отзывах часто пишут: свидание, пускают с питомцами.",big_screen friendly_staff loud_music quiet terrace,1,1.0
11374,late_pharmacy,круглосуточная аптека рядом,Фонарь Daily,cafe,здоровая еда pet friendly вода питомцам вайфай,healthy_food pet_friendly water_for_pets wifi,"В отзывах часто пишут: миска для собаки, pet friendly, здоровая еда, место для ноутбука, проектор.",big_screen family_friendly power_outlets,0,0.0
11375,pet_friendly,заведение с животными,Фонарь Парк,cafe,заботливые официанты детское меню терраса миска для собаки,friendly_staff kids_room terrace water_for_pets,"В отзывах часто пишут: летняя площадка, детское меню, миска для собаки.",cocktails noisy pet_friendly wifi,1,1.0
11376,romantic_jazz_bar,бар с живым джазом для свидания,Оливка Station,pharmacy,gluten free поздние часы лекарства свидание,gluten_free late_hours pharmacy romantic,"В отзывах часто пишут: хорошие блюда, детские праздники, фармацевт.",good_food healthy_food kids_party takeaway_only,0,0.0
11377,sports_bar,спортбар с трансляциями,Лампа Station,restaurant,напитки авторские напитки дружелюбно к семье поздние часы ресторан,bar cocktails family_friendly late_hours restaurant,"В отзывах часто пишут: доставка, матчи.",big_screen cocktails delivery kids_party sports_broadcasts wifi,1,0.9267
11378,pet_friendly,ресторан куда можно с собакой,Место Лофт,bar,паб хороший кофе футбол,bar good_coffee sports_broadcasts,"В отзывах часто пишут: закрывается рано, бар.",closed_evening family_friendly,0,0.0
11379,romantic_jazz_bar,уютный джазовый бар,Город на Тверской,bar,детская комната только навынос,kids_room takeaway_only,"В отзывах часто пишут: не торопят, с животными нельзя, закрывается рано.",closed_evening live_music long_stay no_pets,0,0.0733
11380,late_pharmacy,круглосуточная аптека рядом,Оливка Daily,pharmacy,рядом с метро фармацевт не шумно,near_metro pharmacy quiet,"В отзывах часто пишут: лекарства, 24 часа, у метро, можно сидеть долго, тихо.",24h long_stay water_for_pets,1,0.89
11381,vegan_food,ресторан с vegan меню,Север Daily,pharmacy,работает допоздна громкая музыка аптека свидание,late_hours loud_music pharmacy romantic,"В отзывах часто пишут: фармацевт, до ночи, романтичный, закрывается рано.",closed_evening good_coffee power_outlets restaurant,0,0.0
11382,late_pharmacy,круглосуточная аптека рядом,Мята на углу,bar,бар кофейня,bar cafe,"В отзывах часто пишут: фармацевт, заказ онлайн, бар, интернет, десерты.",24h delivery friendly_staff live_music near_metro no_pets pharmacy wifi,1,1.0
11383,romantic_jazz_bar,романтичный джаз-бар,Город Station,bar,с животными нельзя веган,no_pets vegan,"В отзывах часто пишут: очень шумно, саксофон, с животными нельзя, без молока и мяса, напитки.",bar cafe jazz no_pets noisy,0,0.17
11384,romantic_jazz_bar,уютный джазовый бар,Лампа Лофт,pharmacy,ночью открыто кафе заботливые официанты лекарства романтичный,24h cafe friendly_staff pharmacy romantic,"В отзывах часто пишут: миска для собаки, тихо, уютный свет, заботливые официанты, лекарства.",big_screen gluten_free noisy quiet water_for_pets,0,0.0
11385,sports_bar,бар посмотреть футбол,Соль на Тверской,restaurant,круглосуточно крафт проектор не торопят очень шумно,24h beer big_screen long_stay noisy romantic sports_broadcasts,"В отзывах часто пишут: wifi, 24 часа, удобные столы.",bar good_food wifi,1,0.9267
11386,romantic_jazz_bar,бар с живым джазом для свидания,Фонарь на Тверской,restaurant,паб пиво телевизоры ужин летняя площадка,bar beer big_screen restaurant terrace,"В отзывах часто пишут: пиво, свидание, саксофон, дружелюбно к семье.",family_friendly gluten_free jazz late_hours romantic,1,0.8533
11387,pet_friendly,pet friendly кафе,Место Парк,cafe,закрывается рано заботливые официанты вкусно с животными нельзя,closed_evening friendly_staff good_food no_pets,"В отзывах часто пишут: миска для собаки, кофе.",beer cafe jazz near_metro pet_friendly terrace water_for_pets,1,0.65
11388,vegan_food,веганское кафе,Мята Station,pharmacy,круглосуточно очень шумно фармацевт не шумно только навынос,24h noisy pharmacy quiet takeaway_only,"В отзывах часто пишут: только навынос, ночью открыто, блюда, тихо, фармацевт.",good_coffee no_pets restaurant,0,0.0
11389,terrace_restaurant,ужин на летней террасе,Север Daily,bar,круглосуточно только мясо спокойно матчи,24h meat_only quiet sports_broadcasts,"В отзывах часто пишут: только навынос, капучино, ночью открыто, летняя площадка.",family_friendly good_coffee takeaway_only terrace,0,0.1133
11390,late_pharmacy,где купить лекарства поздно,Мята Daily,pharmacy,gluten free капучино лекарства резерв только навынос,gluten_free good_coffee pharmacy reservation takeaway_only,"В отзывах часто пишут: кофейня, аптека, удобно с детьми.",24h cafe family_friendly friendly_staff near_metro,1,0.89
11391,sports_bar,бар посмотреть футбол,Атлас Плюс,restaurant,телевизоры работает допоздна зарядка трансляции,big_screen late_hours power_outlets sports_broadcasts,"В отзывах часто пишут: матчи, эль, фармацевт, большой экран, место для ноутбука.",bar beer late_hours long_stay pharmacy,1,1.0
11392,late_pharmacy,круглосуточная аптека рядом,Атлас Daily,restaurant,паб ресторан только навынос,bar restaurant takeaway_only,"В отзывах часто пишут: напитки, круглосуточно, детская комната.",24h beer kids_room water_for_pets,0,0.39
11393,quiet_coworking,тихое место поработать с ноутбуком,Лампа Парк,restaurant,концерты очень шумно резерв без молока и мяса wifi,live_music noisy reservation vegan wifi,"В отзывах часто пишут: очень шумно, громкая музыка.",jazz loud_music,0,0.0
11394,sports_bar,бар посмотреть футбол,Север Парк,restaurant,крафт дружелюбно к семье ресторан,beer family_friendly restaurant,"В отзывах часто пишут: удобно с детьми, телевизоры.",bar big_screen late_hours sports_broadcasts wifi,1,1.0
11395,sports_bar,паб с большим экраном,Соль Парк,restaurant,романтичный растительное меню,romantic vegan,"В отзывах часто пишут: заботливые официанты, веган.",bar friendly_staff near_metro quiet,0,0.04
11396,kids_cafe,семейное кафе с игровой комнатой,Мята Station,cafe,24 часа тихо wifi,24h quiet wifi,"В отзывах часто пишут: ночью открыто, вайфай.",adults_only cafe,0,0.04
